2,1668979813.678780460;1668979813.654596452,1668979813.704910028;1668979813.680984390,1668979813.742750706;1668979813.707701038,1668979813.781736762;1668979813.745873105,1668979813.821755710;1668979813.784279193
3,1668979813.884066775;1668979813.827349130,1668979813.927155402;1668979813.886517865,1668979813.987407698;1668979813.929697382,1668979814.048782443;1668979813.990217787,1668979814.112874849;1668979814.051080333
4,1668979814.139596707;1668979814.118524998,1668979814.162664995;1668979814.142007767,1668979814.188451293;1668979814.164806345,1668979814.215577381;1668979814.191967933,1668979814.240406169;1668979814.217635071
5,1668979814.258663108;1668979814.244881139,1668979814.277902707;1668979814.261062428,1668979814.300261665;1668979814.280829177,1668979814.320975214;1668979814.303018815,1668979814.342576762;1668979814.323439923
6,1668979814.365223031;1668979814.347015922,1668979814.386486769;1668979814.367297171,1668979814.408099767;1668979814.389388199,1668979814.432288496;1668979814.410453997,1668979814.451613224;1668979814.434455206
7,1668979814.469043473;1668979814.455933054,1668979814.482619452;1668979814.470908093,1668979814.497815821;1668979814.484592082,1668979814.514446700;1668979814.499905771,1668979814.531074178;1668979814.516572680
8,1668979814.554063217;1668979814.535040908,1668979814.577142905;1668979814.556736257,1668979814.596470454;1668979814.579537945,1668979814.617387692;1668979814.598796783,1668979814.636778521;1668979814.619596192
9,1668979814.656491779;1668979814.640935011,1668979814.673732698;1668979814.658581779,1668979814.694669757;1668979814.676110908,1668979814.719695945;1668979814.697627317,1668979814.743795173;1668979814.722138405
10,1668979814.770881942;1668979814.750030773,1668979814.791672709;1668979814.773852821,1668979814.813702548;1668979814.794179780,1668979814.837146586;1668979814.816557238,1668979814.857901155;1668979814.839562246
11,1668979814.876068864;1668979814.861927195,1668979814.895641542;1668979814.878342773,1668979814.913216221;1668979814.897534552,1668979814.931482370;1668979814.915236381,1668979814.949755758;1668979814.933449749
12,1668979814.972220347;1668979814.955291008,1668979814.990138835;1668979814.974313787,1668979815.007838684;1668979814.992351735,1668979815.025353323;1668979815.009912984,1668979815.052796801;1668979815.027252153
13,1668979815.072481459;1668979815.057299841,1668979815.089089968;1668979815.074928419,1668979815.107277057;1668979815.091006738,1668979815.126669456;1668979815.109751387,1668979815.157508413;1668979815.128935635
14,1668979815.176499582;1668979815.161541623,1668979815.194904700;1668979815.178601932,1668979815.214316069;1668979815.197266820,1668979815.232073998;1668979815.216935359,1668979815.269636175;1668979815.253757916
15,1668979815.288364654;1668979815.273965425,1668979815.306023103;1668979815.290268284,1668979815.323387961;1668979815.308127583,1668979815.358749279;1668979815.325390741,1668979815.375675347;1668979815.360879439
16,1668979815.395802756;1668979815.380084058,1668979815.413311985;1668979815.398366716,1668979815.455750692;1668979815.415883535,1668979815.476440130;1668979815.458589401,1668979815.495803699;1668979815.479745220
