2,1668979815.507496108;1668979815.503127458,1668979815.514236377;1668979815.510245708,1668979815.520448497;1668979815.516678137,1668979815.526688647;1668979815.522982527,1668979815.532492376;1668979815.529023926
3,1668979815.541925275;1668979815.536561176,1668979815.549050215;1668979815.544104745,1668979815.556704354;1668979815.551429675,1668979815.563917514;1668979815.558913314,1668979815.570805044;1668979815.565764444
4,1668979815.577945313;1668979815.574599673,1668979815.584077412;1668979815.579870973,1668979815.590040122;1668979815.586189432,1668979815.597045671;1668979815.592114422,1668979815.602983651;1668979815.599102431
5,1668979815.610111741;1668979815.606709211,1668979815.615383720;1668979815.611996470,1668979815.621294660;1668979815.617342060,1668979815.626379180;1668979815.623112200,1668979815.632076199;1668979815.628256800
6,1668979815.638670289;1668979815.635785189,1668979815.644822228;1668979815.640898588,1668979815.650543927;1668979815.646691438,1668979815.655694917;1668979815.652541518,1668979815.660846077;1668979815.657556377
7,1668979815.668159466;1668979815.664631387,1668979815.673779336;1668979815.669963366,1668979815.678586786;1668979815.675722606,1668979815.684131765;1668979815.680477796,1668979815.688476985;1668979815.685910755
8,1668979815.694778165;1668979815.692160695,1668979815.699820744;1668979815.696651535,1668979815.704899774;1668979815.701629124,1668979815.709533363;1668979815.706745504,1668979815.714153853;1668979815.711468514
9,1668979815.721394322;1668979815.718075883,1668979815.728427712;1668979815.724353382,1668979815.733866772;1668979815.730420912,1668979815.740096101;1668979815.736223441,1668979815.746900691;1668979815.742677581
10,1668979815.754151270;1668979815.751176320,1668979815.758899140;1668979815.756095630,1668979815.764498400;1668979815.760989490,1668979815.770932809;1668979815.767054670,1668979815.776674739;1668979815.773170049
11,1668979815.784172388;1668979815.780904189,1668979815.790515328;1668979815.786312888,1668979815.797384037;1668979815.793143647,1668979815.804453456;1668979815.800723777,1668979815.810616086;1668979815.806856456
12,1668979815.818225496;1668979815.814896336,1668979815.823357045;1668979815.820144696,1668979815.828336305;1668979815.825176215,1668979815.834151075;1668979815.830572715,1668979815.840304534;1668979815.836281114
13,1668979815.846937924;1668979815.844077934,1668979815.854262943;1668979815.849282393,1668979815.859654972;1668979815.856451633,1668979815.864939412;1668979815.861634783,1668979815.870841432;1668979815.867280692
14,1668979815.878160651;1668979815.874825071,1668979815.884119841;1668979815.880608871,1668979815.889674100;1668979815.886414771,1668979815.894302760;1668979815.891546130,1668979815.898889900;1668979815.896149800
15,1668979815.906506560;1668979815.903052030,1668979815.911716249;1668979815.908660889,1668979815.917950568;1668979815.914534408,1668979815.922891418;1668979815.919864648,1668979815.928515878;1668979815.924897668
16,1668979815.937105497;1668979815.932976077,1668979815.943655936;1668979815.939489977,1668979815.950232006;1668979815.945847586,1668979815.956367796;1668979815.952261736,1668979815.963911295;1668979815.959407576
